transaction_id,product_id,product_name,region_id,region_name,date,quantity,price_per_unit,total_price
T8541,P002,Rice Cooker,R03,Surabaya,2024-04-30,2.0,935343,1870686.0
T2137,P003,Vacuum Cleaner,R03,Surabaya,2024-03-25,,433752,867504.0
T2889,P003,Vacuum Cleaner,R03,Surabaya,2024-03-25,5.0,619093,3095465.0
T6139,P003,Vacuum Cleaner,R02,Bandung,2024-03-29,,478361,2391805.0
T8144,P004,Air Purifier,R05,Makassar,06-03-2024,5.0,321263,1606315.0
T8066,P001,Blender,R05,Makassar,2024-06-20,5.0,920221,4601105.0
T7691,P001,Blender,R03,Surabaya,2024-03-17,5.0,529164,2645820.0
T3851,P003,Vacuum Cleaner,R04,Medan,2024-04-07,3.0,781343,2344029.0
T6279,P005,Electric Kettle,R05,Makassar,2024-03-14,3.0,625800,
T5649,P004,Air Purifier,R04,Medan,2024-02-13,4.0,908446,3633784.0
T4262,P005,Electric Kettle,R05,Makassar,2024-06-21,3.0,297923,893769.0
T4185,P002,Rice Cooker,R01,Jakarta,2024-01-19,1.0,456736,456736.0
T4585,P004,Air Purifier,R04,Medan,2024-01-28,4.0,455836,1823344.0
T8612,P002,Rice Cooker,R05,Makassar,2024-02-01,4.0,252657,1010628.0
T9270,P005,Electric Kettle,R05,Makassar,2024-06-05,5.0,532711,2663555.0
T5543,P004,Air Purifier,R05,Makassar,2024-03-07,4.0,366889,1467556.0
T6238,P005,Electric Kettle,R04,Medan,2024-03-01,2.0,487936,975872.0
T7797,P005,Electric Kettle,R01,Jakarta,2024-06-29,2.0,358157,716314.0
T1320,P004,Air Purifier,R03,Surabaya,2024-04-17,5.0,688557,3442785.0
T7865,P005,Electric Kettle,R04,Medan,2024-04-09,4.0,206182,824728.0
T6507,P005,Electric Kettle,R05,Makassar,04-05-2024,5.0,431251,2156255.0
T1444,P004,Air Purifier,R02,Bandung,2024-04-10,4.0,333827,1335308.0
T6355,P001,Blender,R04,Medan,2024-03-24,2.0,684125,1368250.0
T9837,P003,Vacuum Cleaner,R04,Medan,2024-01-21,3.0,988539,2965617.0
T5051,P001,Blender,R03,Surabaya,2024-01-11,2.0,881725,1763450.0
T4571,P002,Rice Cooker,R01,Jakarta,2024-01-30,5.0,359784,1798920.0
T3683,P004,Air Purifier,R03,Surabaya,2024-01-30,3.0,375939,1127817.0
T4249,P003,Vacuum Cleaner,R01,Jakarta,2024-04-06,5.0,226925,1134625.0
T2983,P001,Blender,R05,Makassar,2024-06-24,2.0,306851,613702.0
T1207,P005,Electric Kettle,R01,Jakarta,2024-05-09,3.0,758623,2275869.0
T8135,P004,Air Purifier,R04,Medan,2024-04-27,1.0,654582,654582.0
T5397,P002,Rice Cooker,R05,Makassar,2024-05-03,3.0,845830,2537490.0
T7209,P003,Vacuum Cleaner,R02,Bandung,2024-04-28,1.0,492477,492477.0
T5526,P003,Vacuum Cleaner,R01,Jakarta,2024-03-07,4.0,540802,2163208.0
T4937,P005,Electric Kettle,R01,Jakarta,2024-05-05,5.0,400337,2001685.0
T7046,P004,Air Purifier,R04,Medan,2024-06-26,4.0,218080,872320.0
T8434,P004,Air Purifier,R05,Makassar,2024-03-25,5.0,560455,2802275.0
T4033,P003,Vacuum Cleaner,R03,Surabaya,2024-01-31,3.0,441736,1325208.0
T2647,P002,Rice Cooker,R02,Bandung,2024-05-14,4.0,489930,1959720.0
T1745,P002,Rice Cooker,R03,Surabaya,2024-05-16,2.0,578411,
T1200,P001,Blender,R05,Makassar,2024-05-05,3.0,931295,2793885.0
T8827,P005,Electric Kettle,R03,Surabaya,2024-01-14,4.0,701968,2807872.0
T5978,P001,Blender,R01,Jakarta,2024-01-14,4.0,715633,2862532.0
T9561,P001,Blender,R02,Bandung,2024-06-07,1.0,785181,785181.0
T1986,P004,Air Purifier,R04,Medan,2024-03-19,4.0,511797,2047188.0
T2229,P005,Electric Kettle,R01,Jakarta,2024-02-10,2.0,855900,1711800.0
T5632,P002,Rice Cooker,R01,Jakarta,2024-01-09,4.0,672387,2689548.0
T4241,P004,Air Purifier,R01,Jakarta,2024-06-18,2.0,477405,954810.0
T3718,P004,Air Purifier,R01,Jakarta,06-02-2024,5.0,435729,2178645.0
T5460,P003,Vacuum Cleaner,R05,Makassar,2024-03-18,5.0,502630,2513150.0
T5102,P005,Electric Kettle,R05,Makassar,2024-04-20,4.0,659023,
T5415,P001,Blender,R01,Jakarta,2024-01-06,2.0,907053,1814106.0
T8141,P005,Electric Kettle,R01,Jakarta,2024-03-12,2.0,693355,1386710.0
T6403,P004,Air Purifier,R01,Jakarta,2024-01-27,4.0,564863,2259452.0
T2442,P004,Air Purifier,R04,Medan,20-05-2024,3.0,894769,2684307.0
T1018,P003,Vacuum Cleaner,R03,Surabaya,2024-05-11,3.0,321552,964656.0
T1845,P005,Electric Kettle,R04,Medan,2024-05-07,4.0,256837,1027348.0
T1472,P002,Rice Cooker,R03,Surabaya,2024-06-27,5.0,337377,1686885.0
T2858,P005,Electric Kettle,R02,Bandung,2024-01-24,2.0,525845,1051690.0
T8905,P004,Air Purifier,R01,Jakarta,2024-06-29,2.0,722584,1445168.0
T3236,P004,Air Purifier,R02,Bandung,2024-06-02,4.0,778043,3112172.0
T5891,P001,Blender,R03,Surabaya,2024-01-01,4.0,556385,2225540.0
T9903,P005,Electric Kettle,R05,Makassar,2024-03-26,4.0,355813,1423252.0
T7730,P004,Air Purifier,R04,Medan,2024-04-08,3.0,397816,1193448.0
T3492,P001,Blender,R03,Surabaya,2024-06-18,4.0,939485,3757940.0
T8213,P004,Air Purifier,R01,Jakarta,2024-01-26,2.0,726690,1453380.0
T2225,P001,Blender,R05,Makassar,2024-06-16,4.0,216093,864372.0
T9742,P004,Air Purifier,R03,Surabaya,2024-03-25,3.0,853534,2560602.0
T5708,P004,Air Purifier,R03,Surabaya,2024-06-10,,767296,3069184.0
T5906,P002,Rice Cooker,R01,Jakarta,2024-01-26,4.0,303225,1212900.0
T7751,P001,Blender,R01,Jakarta,2024-02-07,3.0,258845,776535.0
T9153,P005,Electric Kettle,R02,Bandung,2024-06-07,2.0,383573,767146.0
T8622,P005,Electric Kettle,R02,Bandung,19-06-2024,2.0,683550,1367100.0
T7951,P003,Vacuum Cleaner,R05,Makassar,2024-05-30,2.0,277449,554898.0
T6881,P003,Vacuum Cleaner,R04,Medan,2024-01-28,3.0,408894,1226682.0
T1803,P005,Electric Kettle,R03,Surabaya,11-03-2024,3.0,223005,669015.0
T5106,P005,Electric Kettle,R04,Medan,2024-06-11,3.0,441296,1323888.0
T2476,P002,Rice Cooker,R01,Jakarta,2024-04-03,1.0,523939,
T5465,P003,Vacuum Cleaner,R03,Surabaya,2024-04-03,4.0,384171,1536684.0
T2233,P002,Rice Cooker,R03,Surabaya,2024-01-30,4.0,509478,2037912.0
T3024,P002,Rice Cooker,R02,Bandung,2024-01-04,4.0,784384,3137536.0
T4830,P004,Air Purifier,R03,Surabaya,2024-04-05,3.0,812955,2438865.0
T8606,P004,Air Purifier,R01,Jakarta,14-06-2024,5.0,788678,3943390.0
T4846,P003,Vacuum Cleaner,R04,Medan,2024-05-06,,346566,
T7866,P005,Electric Kettle,R02,Bandung,2024-06-27,4.0,675679,2702716.0
T5583,P005,Electric Kettle,R02,Bandung,2024-04-14,4.0,886735,3546940.0
T7018,P001,Blender,R03,Surabaya,02-04-2024,2.0,664920,1329840.0
T4475,P005,Electric Kettle,R03,Surabaya,26-04-2024,1.0,617479,617479.0
T4394,P005,Electric Kettle,R01,Jakarta,2024-05-24,1.0,549709,549709.0
T3370,P005,Electric Kettle,R02,Bandung,01-06-2024,2.0,544519,1089038.0
T4898,P002,Rice Cooker,R05,Makassar,03-02-2024,3.0,382973,1148919.0
T2041,P005,Electric Kettle,R03,Surabaya,2024-04-17,1.0,382710,382710.0
T1710,P004,Air Purifier,R04,Medan,2024-02-26,3.0,738169,2214507.0
T7984,P005,Electric Kettle,R03,Surabaya,2024-05-02,4.0,874591,3498364.0
T5505,P001,Blender,R04,Medan,07-02-2024,4.0,277060,1108240.0
T9282,P005,Electric Kettle,R05,Makassar,2024-05-15,5.0,946746,4733730.0
T4522,P005,Electric Kettle,R04,Medan,2024-05-21,1.0,935869,935869.0
T6120,P004,Air Purifier,R04,Medan,2024-04-16,2.0,633914,1267828.0
T2398,P004,Air Purifier,R03,Surabaya,01-05-2024,3.0,592483,1777449.0
T6400,P001,Blender,R04,Medan,22-05-2024,1.0,980758,980758.0
T6119,P001,Blender,R04,Medan,2024-01-14,3.0,897660,2692980.0
T6736,P003,Vacuum Cleaner,R01,Jakarta,2024-02-27,5.0,732060,3660300.0
T1430,P005,Electric Kettle,R03,Surabaya,2024-04-19,1.0,999649,999649.0
T3972,P005,Electric Kettle,R03,Surabaya,2024-03-27,1.0,389179,389179.0
T9691,P002,Rice Cooker,R05,Makassar,08-01-2024,4.0,272965,1091860.0
T2391,P002,Rice Cooker,R04,Medan,2024-03-24,4.0,675682,2702728.0
T7947,P001,Blender,R02,Bandung,2024-03-10,2.0,991083,1982166.0
T2816,P004,Air Purifier,R05,Makassar,2024-01-30,4.0,634303,2537212.0
T1897,P003,Vacuum Cleaner,R05,Makassar,2024-04-11,4.0,752530,
T1126,P001,Blender,R02,Bandung,2024-03-15,3.0,421494,1264482.0
T6802,P004,Air Purifier,R04,Medan,2024-05-08,2.0,335461,670922.0
T7626,P001,Blender,R04,Medan,2024-03-21,,657409,657409.0
T6928,P004,Air Purifier,R03,Surabaya,2024-06-07,,624707,624707.0
T6083,P001,Blender,R04,Medan,2024-01-21,1.0,455135,455135.0
T6724,P003,Vacuum Cleaner,R02,Bandung,2024-05-15,3.0,376299,1128897.0
T2234,P003,Vacuum Cleaner,R02,Bandung,2024-06-03,2.0,307798,615596.0
T6295,P002,Rice Cooker,R04,Medan,2024-06-23,4.0,991093,3964372.0
T6766,P003,Vacuum Cleaner,R02,Bandung,2024-03-11,4.0,271603,1086412.0
T2479,P005,Electric Kettle,R01,Jakarta,14-03-2024,3.0,684172,2052516.0
T4084,P005,Electric Kettle,R05,Makassar,2024-01-11,5.0,603159,3015795.0
T6626,P003,Vacuum Cleaner,R05,Makassar,2024-01-27,4.0,725721,2902884.0
T3600,P001,Blender,R05,Makassar,2024-04-22,2.0,241043,482086.0
T6482,P003,Vacuum Cleaner,R03,Surabaya,02-06-2024,3.0,606235,1818705.0
T3463,P001,Blender,R03,Surabaya,2024-06-17,1.0,785066,785066.0
T7421,P003,Vacuum Cleaner,R01,Jakarta,2024-06-16,5.0,895847,4479235.0
T9624,P002,Rice Cooker,R05,Makassar,2024-03-25,1.0,524620,524620.0
T8967,P001,Blender,R04,Medan,2024-02-24,,579404,2897020.0
T9843,P002,Rice Cooker,R02,Bandung,2024-01-26,2.0,362471,724942.0
T3712,P005,Electric Kettle,R01,Jakarta,2024-02-11,3.0,848052,2544156.0
T8355,P004,Air Purifier,R01,Jakarta,2024-04-23,4.0,581995,2327980.0
T8218,P002,Rice Cooker,R05,Makassar,2024-02-19,2.0,524500,1049000.0
T3267,P004,Air Purifier,R03,Surabaya,2024-02-21,4.0,727335,2909340.0
T5670,P003,Vacuum Cleaner,R01,Jakarta,2024-05-12,4.0,589244,2356976.0
T4637,P001,Blender,R02,Bandung,21-04-2024,3.0,671145,2013435.0
T2337,P004,Air Purifier,R03,Surabaya,2024-03-01,1.0,635050,635050.0
T3392,P003,Vacuum Cleaner,R02,Bandung,2024-06-15,1.0,534165,534165.0
T1086,P002,Rice Cooker,R01,Jakarta,2024-06-29,3.0,695404,2086212.0
T2821,P001,Blender,R01,Jakarta,2024-06-04,3.0,426130,1278390.0
T2816,P003,Vacuum Cleaner,R02,Bandung,2024-06-08,,327767,983301.0
T1025,P004,Air Purifier,R05,Makassar,2024-02-06,5.0,217233,1086165.0
T6908,P005,Electric Kettle,R03,Surabaya,2024-01-22,2.0,798384,1596768.0
T8702,P001,Blender,R05,Makassar,2024-01-06,5.0,731971,3659855.0
T2698,P001,Blender,R04,Medan,2024-01-18,3.0,465971,1397913.0
T8612,P005,Electric Kettle,R03,Surabaya,2024-06-13,2.0,246489,492978.0
T1717,P004,Air Purifier,R02,Bandung,2024-01-10,2.0,266165,532330.0
T1599,P002,Rice Cooker,R01,Jakarta,2024-05-19,3.0,525138,1575414.0
T8159,P002,Rice Cooker,R03,Surabaya,2024-02-01,3.0,250126,750378.0
T9507,P004,Air Purifier,R04,Medan,2024-05-07,4.0,555505,2222020.0
T6262,P003,Vacuum Cleaner,R01,Jakarta,2024-02-16,4.0,282760,1131040.0
T8272,P001,Blender,R01,Jakarta,2024-04-19,3.0,893024,2679072.0
T1939,P003,Vacuum Cleaner,R04,Medan,2024-04-21,1.0,962120,962120.0
T8179,P001,Blender,R04,Medan,2024-01-08,3.0,738009,2214027.0
T1530,P001,Blender,R02,Bandung,2024-04-08,1.0,447459,447459.0
T7012,P005,Electric Kettle,R02,Bandung,2024-05-26,4.0,588984,2355936.0
T7340,P004,Air Purifier,R03,Surabaya,2024-02-17,3.0,461736,
T9047,P005,Electric Kettle,R01,Jakarta,2024-06-05,3.0,472933,1418799.0
T6236,P002,Rice Cooker,R01,Jakarta,2024-04-23,2.0,277649,555298.0
T8141,P005,Electric Kettle,R01,Jakarta,2024-03-12,2.0,693355,1386710.0
T4258,P005,Electric Kettle,R02,Bandung,2024-06-12,5.0,311579,1557895.0
T4853,P002,Rice Cooker,R01,Jakarta,2024-01-18,5.0,284002,1420010.0
T2234,P003,Vacuum Cleaner,R02,Bandung,2024-06-03,2.0,307798,615596.0
T5583,P005,Electric Kettle,R02,Bandung,2024-04-14,4.0,886735,3546940.0
